id1,name1,id2,name2,match,ranking,surface,previous,winner
sr:competitor:89320,Ivashka Ilya,sr:competitor:107625,Janvier Maxime,sr:match:17390171,0.42,0.473,0.5,1
sr:competitor:62404,Otte Oscar,sr:competitor:15231,Bachinger Matthias,sr:match:17390181,0.509,0.47,1.0,1
sr:competitor:17004,Bemelmans Ruben,sr:competitor:52462,Vatutin Alexey,sr:match:17390179,0.455,0.472,0.5,1
sr:competitor:88992,Muller Alexandre,sr:competitor:15310,Bolelli Simone,sr:match:17390173,0.61,0.51,0.5,1
sr:competitor:62490,Kyrgios Nick,sr:competitor:57163,Zverev Alexander,sr:match:17533813,0.531,0.502,0.429,0
sr:competitor:62490,Kyrgios Nick,sr:competitor:16120,Isner John,sr:match:17529169,0.525,0.51,0.5,0
sr:competitor:95935,Norrie Cameron,sr:competitor:57163,Zverev Alexander,sr:match:17527439,0.54,0.47,0.0,1
sr:competitor:16120,Isner John,sr:competitor:33115,Millman John,sr:match:17517845,0.454,0.457,0.0,0
sr:competitor:62490,Kyrgios Nick,sr:competitor:14548,Wawrinka Stan,sr:match:17517931,0.507,0.536,0.6,0
sr:competitor:214182,de Minaur Alex,sr:competitor:57163,Zverev Alexander,sr:match:17520465,0.521,0.492,1.0,1
sr:competitor:63438,Mcdonald Mackenzie,sr:competitor:95935,Norrie Cameron,sr:match:17517919,0.518,0.553,1.0,1
sr:competitor:14404,Ferrer David,sr:competitor:57163,Zverev Alexander,sr:match:17507501,0.621,0.503,0.667,1
sr:competitor:214182,de Minaur Alex,sr:competitor:14465,Lopez Diaz-Guerra Feliciano,sr:match:17507263,0.42,0.403,0.5,0
sr:competitor:14486,Nadal Rafael,sr:competitor:62490,Kyrgios Nick,sr:match:17506847,0.466,0.447,0.5,1
sr:competitor:95935,Norrie Cameron,sr:competitor:48599,Schwartzman Diego,sr:match:17506463,0.521,0.398,1.0,0
sr:competitor:101101,Tiafoe Frances,sr:competitor:63438,Mcdonald Mackenzie,sr:match:17506947,0.471,0.496,0.6,1
sr:competitor:14548,Wawrinka Stan,sr:competitor:38493,Johnson Steve,sr:match:17491127,0.47,0.404,0.333,0
sr:competitor:16120,Isner John,sr:competitor:15301,Querrey Sam,sr:match:17506721,0.45,0.418,0.714,0
sr:competitor:16194,Gojowczyk Peter,sr:competitor:33115,Millman John,sr:match:17491013,0.525,0.532,0.75,1
sr:competitor:36678,Sandgren Tennys,sr:competitor:14404,Ferrer David,sr:match:17463329,0.467,0.512,1.0,1
sr:competitor:39234,Lajovic Dusan,sr:competitor:14465,Lopez Diaz-Guerra Feliciano,sr:match:17463327,0.425,0.481,0.75,1
sr:competitor:214182,de Minaur Alex,sr:competitor:89632,Jarry Nicolas,sr:match:17463325,0.455,0.381,0.0,0
sr:competitor:14486,Nadal Rafael,sr:competitor:16011,Zverev Mischa,sr:match:17463307,0.401,0.383,0.0,0
sr:competitor:15301,Querrey Sam,sr:competitor:14651,Garcia-Lopez Guillermo,sr:match:17506195,0.439,0.479,0.167,0
sr:competitor:128552,Popyrin Alexei,sr:competitor:57163,Zverev Alexander,sr:match:17473473,0.604,0.512,1.0,1
sr:competitor:62490,Kyrgios Nick,sr:competitor:14773,Seppi Andreas,sr:match:17463309,0.471,0.44,0.333,0
sr:competitor:16327,Copil Marius,sr:competitor:48599,Schwartzman Diego,sr:match:17463323,0.557,0.52,0.5,1
sr:competitor:95935,Norrie Cameron,sr:competitor:59281,Nishioka Yoshihito,sr:match:17463321,0.47,0.464,1.0,0
sr:competitor:16120,Isner John,sr:competitor:15894,Mannarino Adrian,sr:match:17463313,0.461,0.442,0.125,0
sr:competitor:101101,Tiafoe Frances,sr:competitor:87690,Thompson Jordan,sr:match:17463317,0.466,0.506,0.5,0
